event_id,service,severity,message,gt_category,gt_root_cause,gt_remediation,is_labeled
E0161,notification-svc,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0185,checkout-api,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0172,search-api,ERROR,"disk usage 96% on /var/log, write failures beginning",,,,no
E0103,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0377,payments-worker,INFO,INFO cache warmup complete in 120ms,,,,no
E0273,user-db-proxy,INFO,GET /favicon.ico 404 1ms,,,,no
E0132,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0230,inventory-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0177,inventory-svc,WARN,"disk usage 96% on /var/log, write failures beginning",,,,no
E0232,search-api,WARN,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0190,recommendation-svc,WARN,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0030,image-cdn,ERROR,"deadlock detected updating inventory rows, transaction rolled back",code_defect,db_deadlock,reorder_locks_and_add_retry_with_backoff,yes
E0291,recommendation-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0437,inventory-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0259,gateway,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0357,inventory-svc,INFO,GET /health 200 2ms,,,,no
E0351,image-cdn,INFO,INFO scheduled job nightly-report started,,,,no
E0397,user-db-proxy,INFO,GET /health 200 2ms,,,,no
E0080,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0402,user-db-proxy,INFO,GET /favicon.ico 404 1ms,,,,no
E0366,user-db-proxy,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0079,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0394,gateway,INFO,GET /health 200 2ms,,,,no
E0023,image-cdn,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",dependency_failure,upstream_outage,enable_fallback_queue_and_alert_vendor,yes
E0022,inventory-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",dependency_failure,db_connection_pool_exhausted,increase_pool_size_and_add_timeout_retry,yes
E0343,checkout-api,INFO,INFO user session refreshed,,,,no
E0189,payments-worker,WARN,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0238,checkout-api,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0235,checkout-api,ERROR,"disk usage 96% on /var/log, write failures beginning",,,,no
E0111,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0096,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0092,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0076,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0380,search-api,INFO,INFO scheduled job nightly-report started,,,,no
E0084,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0188,recommendation-svc,ERROR,"disk usage 96% on /var/log, write failures beginning",,,,no
E0260,checkout-api,INFO,GET /health 200 2ms,,,,no
E0374,checkout-api,INFO,GET /health 200 2ms,,,,no
E0043,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0114,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0144,user-db-proxy,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0319,recommendation-svc,INFO,INFO user session refreshed,,,,no
E0112,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0451,gateway,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0454,user-db-proxy,INFO,INFO cache warmup complete in 120ms,,,,no
E0074,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0413,recommendation-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0229,notification-svc,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0178,inventory-svc,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0139,user-db-proxy,ERROR,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0125,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0187,inventory-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0247,payments-worker,WARN,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0270,search-api,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0174,recommendation-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0315,recommendation-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0356,payments-worker,INFO,INFO user session refreshed,,,,no
E0261,gateway,INFO,INFO scheduled job nightly-report started,,,,no
E0087,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0269,inventory-svc,INFO,INFO user session refreshed,,,,no
E0248,search-api,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0020,inventory-svc,ERROR,"deadlock detected updating inventory rows, transaction rolled back",code_defect,db_deadlock,reorder_locks_and_add_retry_with_backoff,yes
E0250,recommendation-svc,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0271,image-cdn,INFO,GET /health 200 2ms,,,,no
E0347,image-cdn,INFO,INFO user session refreshed,,,,no
E0004,search-api,ERROR,NullPointerException at auth.TokenValidator.verify line 88,code_defect,null_pointer,ship_hotfix_null_guard,yes
E0197,image-cdn,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0135,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0173,gateway,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0113,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0026,gateway,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",capacity,rate_limit_breach,add_backpressure_and_request_quota_increase,yes
E0345,checkout-api,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0152,recommendation-svc,WARN,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0324,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0033,payments-worker,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",dependency_failure,upstream_outage,enable_fallback_queue_and_alert_vendor,yes
E0010,gateway,ERROR,"deadlock detected updating inventory rows, transaction rolled back",code_defect,db_deadlock,reorder_locks_and_add_retry_with_backoff,yes
E0127,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0449,recommendation-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0167,gateway,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0170,user-db-proxy,WARN,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0191,auth-svc,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0098,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0244,user-db-proxy,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0122,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0262,user-db-proxy,INFO,GET /favicon.ico 404 1ms,,,,no
E0012,checkout-api,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",dependency_failure,db_connection_pool_exhausted,increase_pool_size_and_add_timeout_retry,yes
E0106,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0285,image-cdn,INFO,INFO user session refreshed,,,,no
E0234,auth-svc,WARN,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0147,image-cdn,WARN,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),,,,no
E0062,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0303,gateway,INFO,GET /health 200 2ms,,,,no
E0290,user-db-proxy,INFO,INFO scheduled job nightly-report started,,,,no
E0298,auth-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0280,payments-worker,INFO,INFO cache warmup complete in 120ms,,,,no
E0333,payments-worker,INFO,INFO cache warmup complete in 120ms,,,,no
E0335,payments-worker,INFO,GET /favicon.ico 404 1ms,,,,no
E0196,search-api,WARN,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0236,payments-worker,WARN,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0086,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0381,notification-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0338,user-db-proxy,INFO,INFO user session refreshed,,,,no
E0406,inventory-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0115,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0391,search-api,INFO,GET /health 200 2ms,,,,no
E0126,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0297,gateway,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0149,search-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0151,search-api,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0350,search-api,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0275,notification-svc,INFO,INFO user session refreshed,,,,no
E0348,inventory-svc,INFO,INFO user session refreshed,,,,no
E0342,gateway,INFO,GET /favicon.ico 404 1ms,,,,no
E0316,recommendation-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0069,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0287,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0202,recommendation-svc,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0088,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0242,user-db-proxy,ERROR,"disk usage 96% on /var/log, write failures beginning",,,,no
E0219,notification-svc,WARN,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0203,image-cdn,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0198,recommendation-svc,ERROR,"disk usage 96% on /var/log, write failures beginning",,,,no
E0071,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0018,gateway,ERROR,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),performance,missing_index,add_index_and_review_query_plan,yes
E0445,auth-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0035,user-db-proxy,ERROR,"disk usage 96% on /var/log, write failures beginning",resource_exhaustion,disk_full,rotate_logs_and_expand_volume,yes
E0436,recommendation-svc,INFO,INFO user session refreshed,,,,no
E0192,user-db-proxy,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0431,checkout-api,INFO,GET /health 200 2ms,,,,no
E0154,search-api,WARN,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0049,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0099,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0425,search-api,INFO,GET /health 200 2ms,,,,no
E0142,image-cdn,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0117,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0265,auth-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0121,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0124,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0251,recommendation-svc,WARN,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0389,search-api,INFO,GET /health 200 2ms,,,,no
E0070,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0181,search-api,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0131,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0075,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0184,search-api,ERROR,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0239,payments-worker,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0414,recommendation-svc,INFO,INFO user session refreshed,,,,no
E0040,user-db-proxy,ERROR,"deadlock detected updating inventory rows, transaction rolled back",code_defect,db_deadlock,reorder_locks_and_add_retry_with_backoff,yes
E0410,gateway,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0412,auth-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0346,notification-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0243,search-api,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0369,auth-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0354,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0367,image-cdn,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0048,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0209,checkout-api,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0008,inventory-svc,ERROR,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),performance,missing_index,add_index_and_review_query_plan,yes
E0160,image-cdn,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0082,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0382,payments-worker,INFO,INFO user session refreshed,,,,no
E0015,search-api,ERROR,"disk usage 96% on /var/log, write failures beginning",resource_exhaustion,disk_full,rotate_logs_and_expand_volume,yes
E0063,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0249,auth-svc,WARN,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0331,user-db-proxy,INFO,INFO user session refreshed,,,,no
E0440,user-db-proxy,INFO,GET /favicon.ico 404 1ms,,,,no
E0068,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0349,search-api,INFO,INFO scheduled job nightly-report started,,,,no
E0105,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0433,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0409,recommendation-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0256,inventory-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0186,checkout-api,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0312,inventory-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0097,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0429,recommendation-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0212,auth-svc,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0237,recommendation-svc,WARN,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0278,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0001,auth-svc,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,resource_exhaustion,memory_leak,restart_pod_and_raise_heap_limit,yes
E0264,gateway,INFO,INFO user session refreshed,,,,no
E0336,search-api,INFO,GET /health 200 2ms,,,,no
E0060,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0326,recommendation-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0432,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0162,inventory-svc,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0046,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0364,image-cdn,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0019,checkout-api,ERROR,kafka consumer lag 240000 msgs on topic payments.events,capacity,consumer_lag,scale_consumers_and_check_poison_message,yes
E0282,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0427,image-cdn,INFO,INFO scheduled job nightly-report started,,,,no
E0341,image-cdn,INFO,INFO scheduled job nightly-report started,,,,no
E0254,notification-svc,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0211,inventory-svc,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0169,inventory-svc,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0083,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0054,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0165,notification-svc,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0171,auth-svc,WARN,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
